PDB	Family	Protein Type	Subtype	CrossDocking_Family	RMSD mmaker	Atoms Between	Rotatable	MW	Charge	2010/2012	Checked By
3HMM	Misc	TGF-beta_receptor_type_I	--	--	--	--	--	--	--	2021	CC
1FPU	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0	275	5	382.425	0	2012	sm/tb
2E2B	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.384	259	9	576.624	0	2012	sm/tb
3CS9	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.415	257	9	444.655	0	2012	sm/tb
1IEP	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.417	269	7	493.611	0	2012	sm/tb
2HYY	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.464	258	7	493.611	0	2012	sm/tb
2HZN	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.478	259	7	373.334	0	2012	sm/tb
1M52	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.524	233	4	443.356	0	2012	sm/tb
3IK3	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.535	250	1	138.123	0	2012	sm/tb
3OY3	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.541	255	11	568.599	0	2012	sm/tb
3K5V	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.548	257	4	133.171	1	2012	sm/tb
3OXZ	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.559	241	6	532.568	0	2012	sm/tb
3KFA	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.562	253	6	443.448	0	2012	sm/tb
2F4J	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.576	234	8	464.594	0	2012	sm/tb
3KF4	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.642	230	7	493.611	0	2012	sm/tb
3QRI	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.65	246	10	553.596	0	2012	sm/tb
2HZI	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.673	231	3	429.28	0	2012	sm/tb
2GQG	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.69	233	9	488.013	0	2012	sm/tb
2QOH	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.695	234	4	372.426	0	2012	sm/tb
1OPK	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.707	232	5	427.289	0	2012	sm/tb
3QRJ	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.707	242	10	553.596	0	2012	sm/tb
2Z60	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.713	234	3	153.008	-3	2012	sm/tb
3QRK	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.731	246	7	502.399	0	2012	sm/tb
2HZ4	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.809	226	2	470.571	0	2012	sm/tb
2HZ0	ABL_Kinase 	ABL_Kinase 	--	ABL_Kinase 	0.863	221	9	429.442	0	2012	sm/tb
1ACJ	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase 	0	528	1	198.268	0	2010	sm/tb
1.00E+66	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.32	528	2	298.815	0	2010	sm/tb
2CKM	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.338	528	10	492.707	0	2010	sm/tb
1H23	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.339	528	15	496.737	2	2010	sm/tb
1Q84	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.344	527	13	661.873	1	2010	sm/tb
1GPK	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.355	528	1	243.329	1	2012	sm/tb
1GPN	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.358	527	0	257.356	1	2010	sm/tb
1H22	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.358	528	13	468.683	2	2010	sm/tb
1VOT	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.363	528	1	243.329	1	2010	sm/tb
1W76	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.366	527	2	286.351	1	2010	sm/tb
2ACK	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.367	528	2	166.243	1	2010	sm/tb
1EVE	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.369	528	6	380.507	1	2010	sm/tb
1ZGC	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.375	528	13	501.735	1	2010	sm/tb
1UT6	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.386	528	9	326.505	1	2010	sm/tb
1W6R	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.415	528	2	287.359	0	2010	sm/tb
1W4L	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.42	522	11	529.656	1	2010	sm/tb
2CMF	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.526	518	8	464.654	0	2010	sm/tb
1ODC	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.704	505	11	452.643	0	2010	sm/tb
2HA2	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.704	508	11	290.403	2	2010	sm/tb
1J07	Acetylcholinesterase	Acetylcholinesterase	--	Acetylcholinesterase	0.707	506	13	482.712	2	2010	sm/tb
2OI0	ADAM	ADAM	17	--	--	--	--	--	--	2021	CC
1R55	ADAM	ADAM	--	--	--	--	13	331.412	0	2012	sm/tb
1ADD	Adenosine_Deaminase	Adenosine_Deaminase	--	Adenosine_Deaminase	0	349	6	266.257	0	2010	sm/tb
2ADA	Adenosine_Deaminase	Adenosine_Deaminase	--	Adenosine_Deaminase	0.159	349	6	270.245	0	2010	sm/tb
