System,CrossDock_Family,Ca_Atoms_Align,RMSD_to_family_ref
1ADD , Adenosine_Deaminase , 349 , 0.000
2ADA , Adenosine_Deaminase , 349 , 0.159
1NDY , Adenosine_Deaminase , 342 , 0.581
1NDZ , Adenosine_Deaminase , 341 , 0.622
1NDW , Adenosine_Deaminase , 343 , 0.628
1NDV , Adenosine_Deaminase , 338 , 0.630
1UML , Adenosine_Deaminase , 342 , 0.631
2E1W , Adenosine_Deaminase , 341 , 0.630
1CBX , Carboxypeptidase_A , 307 , 0.000
3CPA , Carboxypeptidase_A , 307 , 0.170
1CPS , Carboxypeptidase_A , 307 , 0.203
1HDQ , Carboxypeptidase_A , 306 , 0.272
1F57 , Carboxypeptidase_A , 305 , 0.292
6CPA , Carboxypeptidase_A , 307 , 0.297
7CPA , Carboxypeptidase_A , 305 , 0.321
8CPA , Carboxypeptidase_A , 303 , 0.322
1DF8 , Streptavidin , 118 , 0.000
1STP , Streptavidin , 116 , 0.363
1SRI , Streptavidin , 115 , 0.365
2IZL , Streptavidin , 118 , 0.376
1SRG , Streptavidin , 115 , 0.388
1SRJ , Streptavidin , 114 , 0.390
1SWR , Streptavidin , 116 , 0.391
1SWP , Streptavidin , 116 , 0.448
1EQG , COX , 551 , 0.000
1EQH , COX , 551 , 0.132
1Q4G , COX , 551 , 0.202
1HT8 , COX , 551 , 0.214
1HT5 , COX , 551 , 0.233
4COX , COX , 532 , 0.794
1CX2 , COX , 533 , 0.849
2OYU , COX , 545 , 0.368
3LN1 , COX , 535 , 0.825
1CKP , CDK , 279 , 0.000
1KE7 , CDK , 276 , 0.521
1KE6 , CDK , 276 , 0.549
1KE8 , CDK , 276 , 0.550
1KE5 , CDK , 277 , 0.587
1KE9 , CDK , 276 , 0.600
1V0P , CDK , 255 , 0.715
1UNG , CDK , 169 , 0.844
1UNL , CDK , 175 , 0.874
1UNH , CDK , 195 , 0.963
2ZM3 , IGF1_R , 303 , 0.000
3F5P , IGF1_R , 297 , 0.568
3NW6 , IGF1_R , 254 , 0.661
3NW7 , IGF1_R , 248 , 0.677
3NW5 , IGF1_R , 256 , 0.773
