System,Molecular_Weight,DOCK_Rotatable_Bonds,Formal_Charge,HBond_Acceptors,HBond_Donors,Stereocenters,cLogP,TPSA,SA_Score,QED,ESOL,num_of_PAINS,SMILES
121P , 517.179 , 11 , -4.002 , 18 , 5 , 4 , -7.9634 , 319.16 , 5.4955 , 0.246139 , 2.7612 , 0 , Nc1nc2c(ncn2[C@@H]2O[C@H](CO[P]([O-])([O-])O[P]([O-])([O-])C[P]([O-])([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
181L , 78.1136 , 0 , 0 , 0 , 0 , 0 , 1.6866 , 0 , 1 , 0.442628 , -1.57738 , 0 , c1ccccc1
182L , 118.135 , 0 , -0.001 , 1 , 0 , 0 , 2.4328 , 13.14 , 1.8035 , 0.517424 , -2.37183 , 0 , c1ccc2occc2c1
183L , 116.163 , 0 , 0.00099998 , 0 , 0 , 0 , 2.2559 , 0 , 2.22581 , 0.48739 , -2.22758 , 0 , C1=Cc2ccccc2C1
184L , 134.221 , 4 , 0.00199998 , 0 , 0 , 0 , 2.8851 , 0 , 1.19956 , 0.583095 , -2.80204 , 0 , CC(C)Cc1ccccc1
185L , 117.15 , 0 , 7.45058e-09 , 1 , 1 , 0 , 2.1679 , 15.79 , 1.7398 , 0.543916 , -2.16885 , 0 , c1ccc2[nH]ccc2c1
186L , 134.221 , 4 , 7.45058e-09 , 0 , 0 , 0 , 3.0292 , 0 , 1.10495 , 0.595731 , -2.90547 , 0 , CCCCc1ccccc1
187L , 106.167 , 2 , -2.03401e-06 , 0 , 0 , 0 , 2.30344 , 0 , 1 , 0.475758 , -2.20265 , 0 , Cc1ccc(C)cc1
188L , 106.167 , 2 , 0.00200197 , 0 , 0 , 0 , 2.30344 , 0 , 1.03374 , 0.475758 , -2.20265 , 0 , Cc1ccccc1C
1A28 , 314.468 , 3 , -0.00100003 , 2 , 0 , 6 , 4.7235 , 34.14 , 3.94603 , 0.689052 , -5.33703 , 0 , CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
1A30 , 373.363 , 17 , -1.999 , 11 , 5 , 3 , -5.9674 , 206.23 , 4.92587 , 0.305241 , 2.24273 , 0 , CC(C)C[C@H](NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@@H]([NH3+])CCC(=O)[O-])C(=O)[O-]
1A4G , 332.313 , 11 , 0.00299896 , 11 , 9 , 5 , -6.7302 , 202.79 , 5.11085 , 0.186548 , 3.05712 , 0 , CC(=O)N[C@@H]1[C@@H](NC(N)=[NH2+])C=C(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)CO
1A4Q , 389.451 , 12 , 2.32458e-06 , 8 , 4 , 3 , -1.3845 , 126.41 , 4.21618 , 0.56857 , -1.27534 , 0 , CCCN(CCc1ccccc1)C(=O)[C@@H]1OC(C(=O)[O-])=C[C@H]([NH3+])[C@H]1NC(C)=O
1A52 , 272.387 , 3 , -0.000999026 , 2 , 2 , 5 , 3.6092 , 40.46 , 3.58535 , 0.743925 , -4.23849 , 0 , C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
1A5S , 271.185 , 5 , -2 , 6 , 1 , 0 , 0.0147 , 94.2 , 3.10365 , 0.61246 , -1.54969 , 0 , [O-][P]([O-])([O-])OCCCc1c[nH]c2ccc(F)cc12
1A7A , 231.214 , 3 , 2.98023e-08 , 7 , 3 , 2 , -0.5506 , 106.92 , 3.65976 , 0.68604 , -0.881275 , 0 , Nc1ncnc2c1ncn2[C@@H]1C=CC(=O)[C@H]1O
1A8G , 827.01 , 35 , 1 , 14 , 8 , 5 , 3.7281 , 201.16 , 4.64541 , 0.071391 , -7.91166 , 1 , COc1ccc(C[NH2+][C@@H](C(=O)N[C@H](C(=O)NCc2ccc(OC)cc2O)C(C)C)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)OCc2ccccc2)C(C)(C)C)cc1
1A8I , 248.193 , 5 , 0.00300008 , 9 , 6 , 5 , -4.0041 , 148.35 , 4.85635 , 0.262486 , 1.56782 , 0 , O=C1NC(=O)[C@@]2(N1)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O
1A8K , 847.048 , 43 , 0.999 , 20 , 16 , 7 , -4.8804 , 349.1 , 5.1705 , 0.0224823 , -1.63189 , 0 , CCCC[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)[O-])NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H]([NH3+])CCCNC(N)=[NH2+])C(C)C)C(N)=O
1A9M , 597.779 , 28 , 1.007 , 14 , 13 , 5 , -2.3513 , 257.35 , 4.39852 , 0.0450403 , -1.89312 , 0 , CC(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O)C(C)C
